pattern	regex->SR (milliseconds)	SR->NCA (milliseconds)	|NCA|	regex->NFA (milliseconds)	NFA->DFA (milliseconds)	DFA->min (milliseconds)	|NFA|	|DFA|	|min|
^\d{1,6}\040([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^\d{1,6}\040([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$|^\d{1,6}\040([A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,}\040[A-Z]{1}[a-z]{1,})$	3.22972	0.06269	16	0.12707	0.15119	0.08367	55	19	19
^[a-zA-Z]\w{0,30}$	9.58457	0.01066	2	0.02187	5E-05	0.12132	32	32	32
(?:(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\,?[0-9]{2,3})*)(?<dec>\.)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\.?[0-9]{2,3})*)(?<dec>\,)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\'?[0-9]{2,3})*)(?<dec>\.)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\,[0-9]{2,3})*)(?<dec>\.)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\ [0-9]{2,3})*)(?<dec>\,)(?<postdec>[0-9]*)?$)|(?:^(?<sign>[+-]?)(?<predec>[0-9]{1,3}(?:\'?[0-9]{2,3})*)(?<dec>\,)(?<postdec>[0-9]*)?$))	0.78837	0.21267	15	0.38741	0.61047	0.479	77	62	26
((([sS]|[nN])[a-hA-Hj-zJ-Z])|(([tT]|[oO])[abfglmqrvwABFGLMQRVW])|([hH][l-zL-Z])|([jJ][lmqrvwLMQRVW]))([0-9]{2})?(([a-np-zA-NP-Z]{1}?|([0-9]{2})?([0-9]{2})?([0-9]{2})?([0-9]{2})?))	1.08282	0.19288	13	0.29093	1.2976	0.27559	26	51	6
^([012346789][0-9]{4})$	0.10542	0.00689	2	0.01024	6E-05	0.01816	6	6	6
^([012346789][0-9]{4})$	0.1098	0.00695	2	0.00988	5E-05	0.01799	6	6	6
^(-?\$?([1-9]\d{0,2}(,\d{3})*|[1-9]\d*|0|)(.\d{1,2})?|\(\$?([1-9]\d{0,2}(,\d{3})*|[1-9]\d*|0|)(.\d{1,2})?\))$	2.87235	0.28704	16	0.13472	0.59027	0.4078	36	46	38
^([a-zA-Z0-9]{1,15})$	0.11036	0.00687	2	0.01046	6E-05	0.05768	16	16	16
^(100([\.\,]0{1,2})?)|(\d{1,2}[\.\,]\d{1,2})|(\d{0,2})$	2.61885	0.03992	9	0.06552	0.40544	0.00575	22	2	1
^(\s(SUN|MON|TUE|WED|THU|FRI|SAT)\s+(JAN|FEB|MAR|APR|MAY|JUN|JUL|AUG|SEP|OCT|NOV|DEC)\s+(0?[1-9]|[1-2][0-9]|3[01])\s+(2[0-3]|[0-1][0-9]):([0-5][0-9]):((60|[0-5][0-9]))\s+(19[0-9]{2}|[2-9][0-9]{3}|[0-9]{2}))$	6.41624	0.56146	60	0.25591	0.66158	0.24439	73	60	56
^([9]{1})+(6|3|2|1{1})+([0-9]{7})$	0.13283	0.02115	4	0.02712	0.14023	0.16111	12	38	38
^([a-z]{2,3}(\.[a-zA-Z][a-zA-Z_$0-9]*)*)\.([A-Z][a-zA-Z_$0-9]*)$	0.29423	0.05137	6	0.04063	0.04453	0.0345	10	7	7
([(]?\d{3}[)]?(-| |.)?\d{3}(-| |.)?\d{4})	2.32902	0.07071	6	0.0521	0.74593	0.53095	20	71	26
(:(6553[0-5]|655[0-2][0-9]\d|65[0-4](\d){2}|6[0-4](\d){3}|[1-5](\d){4}|[1-9](\d){0,3}))?	2.92149	0.07593	20	0.15165	0.23201	0.05817	36	27	1
:(6553[0-5]|655[0-2][0-9]\d|65[0-4](\d){2}|6[0-4](\d){3}|[1-5](\d){4}|[1-9](\d){0,3})	2.71759	0.07363	20	0.16385	5.97539	1.6266	35	677	3
\(?(?<areacode>[1]?[2-9]\d{2})\)?[\s-]?(?<prefix>[2-9]\d{2})[\s-]?(?<linenumber>[\d]{4})	2.18849	0.04739	9	0.08598	10.09785	4.3119	22	358	57
(?<username>#?[_a-zA-Z0-9+-]+(\.[_a-zA-Z0-9+-]+)*)@(?<domain>[a-zA-Z0-9-]+(\.[a-zA-Z0-9-]+)*\.(([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|coop|info|museum|name)))	1.85775	0.35607	26	0.21807	50.35409	9.47226	46	2030	7
^(BE)[0-1]{1}[0-9]{9}$|^((BE)|(BE ))[0-1]{1}(\d{3})([.]{1})(\d{3})([.]{1})(\d{3})	2.33815	0.05158	12	0.07365	0.06982	0.09267	29	26	26
^(02\d\s?\d{4}\s?\d{4})|((01|05)\d{2}\s?\d{3}\s?\d{4})|((01|05)\d{3}\s?\d{5,6})|((01|05)\d{4}\s?\d{4,5})$	5.40269	0.25045	19	0.1927	58.83344	12.69728	67	2958	157
^([0-2]{0,1})([0-3]{1})(\.[0-9]{1,2})?$|^([0-1]{0,1})([0-9]{1})(\.[0-9]{1,2})?$|^-?(24)(\.[0]{1,2})?$|^([0-9]{1})(\.[0-9]{1,2})?$	0.43927	0.06437	9	0.2257	0.37357	0.38884	24	29	12
^((([\+][\s]{0,1})|([0]{2}[\s-]{0,1}))([358]{3})([\s-]{0,1})|([0]{1}))(([1-9]{1}[0-9]{0,1})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1}))([0-9]{0,3}){1}$	1.12753	0.21719	10	0.22374	0.58445	0.58295	35	42	31
\d{4}\s\d{4}\s\d{4}\s\d{4}$	2.74111	0.01607	4	0.02609	0.44029	0.07378	21	20	20
[\+]?[1]?[-. ]?(\(\d{3}\)|\d{3})(|[-. ])?\d{3}(|[-. ])\d{4}|\d{3}(|[-. ])\d{4}	3.16981	0.12248	10	0.10778	3.5658	0.04276	38	11	11
^([A-ZÄÖÜ][a-zäöüß]+(([.] )|( )|([-])))+[1-9][0-9]{0,3}[a-z]?$	0.57143	0.0473	7	0.0531	0.07978	0.07313	17	13	10
^(([a-zA-Z]{3})?([0-9]{4}))$	0.14989	0.0138	3	0.01276	0.03341	0.0283	9	8	8
'/http:\\/\/\.?video.google.\w{2,3}\/videoplay\?docid=([a-z0-9-_]+)/i'	52.23491	0.2544	46	0.09055	0.75144	0.37941	52	100	51
^[1-9]{1,2}(.5)?$	0.10496	0.01777	4	0.01082	0.02812	0.02748	6	6	6
^[SFTG]\d{7}[A-Z]$	1.78312	0.01598	3	0.0126	3E-05	0.02758	10	10	10
^[6]\d{7}$	1.23804	0.00845	2	0.00762	6E-05	0.02509	9	9	9
^([0-9]|[1-9]\d|[1-7]\d{2}|800)$	1.47028	0.02958	6	0.03403	0.03099	0.0398	7	7	6
((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))	8.18162	0.43738	37	0.34107	107.58561	13.70741	104	1903	70
^[a-zA-Z]{4}[a-zA-Z]{2}[a-zA-Z0-9]{2}[XXX0-9]{0,3}	0.17655	0.06194	5	0.02247	0.05315	0.03945	13	13	9
((http|ftp|https|ftps):\/\/)?[\w\-_\.]+\.(([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|coop|info|museum|name))+(:[0-9]+)?\/?(([\w\-\.,@^%:/~\+#]*[\w\-\@^%/~\+#])((\?[a-zA-Z0-9\[\]\-\._+%\$#\=~',]*=[a-zA-Z0-9\[\]\-\._+%\$#\=~',]*)+(&[a-zA-Z0-9\[\]\-\._+%\$#\=~',]*=[a-zA-Z0-9\[\]\-\._+%\$#\=~',]*)*)?)?	75.69119	1.40439	42	0.45694	233.31624	19.70531	92	1591	5
(?<protocol>(http|ftp|https|ftps):\/\/)?(?<site>[\w\-_\.]+\.(?<tld>([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|coop|info|museum|name))+(?<port>:[0-9]+)?\/?)((?<resource>[\w\-\.,@^%:/~\+#]*[\w\-\@^%/~\+#])(?<queryString>(\?[a-zA-Z0-9\[\]\-\._+%\$#\~',]*=[a-zA-Z0-9\[\]\-\._+%\$#\~',]*)+(&[a-zA-Z0-9\[\]\-\._+%\$#\~',]*=[a-zA-Z0-9\[\]\-\._+%\$#\~',]*)*)?)?	71.84106	1.39985	42	0.47846	212.378	17.57997	92	1591	5
^([1-9]\d{3}|0[1-9]\d{2}|00[1-9]\d{1}|000[1-9]{1})$	4.41188	0.08533	11	0.18672	0.13277	0.27427	14	11	8
^([0-9a-zA-Z]+[-._+&amp;])*[0-9a-zA-Z_-]+@([-0-9a-zA-Z]+[.])+[a-zA-Z]{2,6}$	0.88021	0.29338	8	0.04811	0.11568	0.09036	19	15	13
^http://\\.?video\\.google+\\.\\w{2,3}/videoplay\\?docid=[\\w-]{19}	2.09799	0.18801	44	0.21926	0.83351	0.47155	69	66	66
^(([0]?[1-9])|(1[0-2]))\/(([0]?[1-9])|([1,2]\d{1})|([3][0,1]))\/[12]\d{3}$	2.25956	0.06585	11	0.1672	0.21121	0.16626	16	15	15
^[a-zA-Z0-9][a-zA-Z0-9_]{2,29}$	0.12611	0.00677	2	0.04086	8E-05	0.18246	31	31	31
^([\w\._-]){3,}\@([\w\-_.]){3,}\.(\w){2,4}$	15.06292	0.03488	4	0.05805	0.10984	0.07591	17	13	13
^(0?[1-9]|1[012])/([012][0-9]|[1-9]|3[01])/([12][0-9]{3})$	0.7631	0.12097	10	0.0801	0.1042	0.08998	14	14	14
^[0-9]{1,15}(\.([0-9]{1,2}))?$	0.27102	0.03114	3	0.02713	0.13779	0.12767	20	19	19
^(\+|-)?(\d\.\d{1,6}|[1-9]\d\.\d{1,6}|1[1-7]\d\.\d{1,6}|180\.0{1,6})$	3.96255	0.12989	10	0.13564	0.30622	0.27291	40	38	20
^(\+|-)?(\d\.\d{1,6}|[1-8]\d\.\d{1,6}|90\.0{1,6})$	2.55744	0.08076	8	0.09762	0.16979	0.27941	29	28	19
(\d{1,2})\W+(\d{1,2})\W*(\d{2,4})?|(\d{4})\W(\d{1,2})\W(\d{1,2})|([a-zA-Z]+)\W*(\d{1,2})\W+(\d{2,4})|(\d{4})\W*([a-zA-Z]+)\W*(\d{1,2})|(\d{1,2})\W*([a-zA-Z]+)\W*(\d{2,4})|(\d{1,2})\W*([a-zA-Z]+)|([a-zA-Z]+)\W*(\d{1,2})|(\d{2})(\d{2})(\d{2,4})?	39.58758	0.16692	26	0.29008	3.45465	0.03879	100	6	6
^[{][A-Za-z0-9]{8}-[A-Za-z0-9]{4}-[A-Za-z0-9]{4}-[A-Za-z0-9]{4}-[A-Za-z0-9]{12}[}]$|^[A-Za-z0-9]{8}-[A-Za-z0-9]{4}-[A-Za-z0-9]{4}-[A-Za-z0-9]{4}-[A-Za-z0-9]{12}$	0.53601	0.05566	12	0.20181	0.00012	0.23341	74	74	74
((\(?\d{2,5}\)?)?(\d|-| )?(15((\d|-| ){6,13})))	2.68473	0.05486	7	0.11947	40.96062	9.15818	57	1515	9
^-?((([1]?[0-7][0-9]|[1-9]?[0-9])\.{1}\d{1,6}$)|[1]?[1-8][0]\.{1}0{1,6}$)	2.00259	0.09935	10	0.19397	0.51734	0.50735	27	34	20
^-?([1-8]?[0-9]\.{1}\d{1,6}$|90\.{1}0{1,6}$)	1.70705	0.04245	8	0.0537	0.09532	0.0957	22	20	19
