pattern	regex->SR (milliseconds)	SR->NCA (milliseconds)	|NCA|	regex->NFA (milliseconds)	NFA->DFA (milliseconds)	DFA->min (milliseconds)	|NFA|	|DFA|	|min|
^(([0-9]{3})[-]?)*[0-9]{6,7}$	0.12301	0.02894	4	0.03748	0.0645	0.04381	13	9	8
^[a-zA-Z][a-zA-Z0-9_\.\-]+@([a-zA-Z0-9-]{2,}\.)+([a-zA-Z]{2,4}|[a-zA-Z]{2}\.[a-zA-Z]{2})$	0.35366	0.08569	9	0.07913	0.13627	0.10812	22	16	11
^(0?[1-9]|1[0-2])\/(0?[1-9]|[1-2][0-9]|3[0-1])\/(0[1-9]|[1-9][0-9]|175[3-9]|17[6-9][0-9]|1[8-9][0-9]{2}|[2-9][0-9]{3})$	0.68032	0.15924	21	0.2879	0.1697	0.14168	27	21	18
^[1-9]{1}[0-9]{3}-(0[1-9]{1}|1[0-2]{1})-([0-2]{1}[1-9]{1}|3[0-1]{1}) ([0-1]{1}[0-9]{1}|2[0-3]{1}):[0-5]{1}[0-9]{1}:[0-5]{1}[0-9]{1}$	0.52889	0.07398	20	0.09827	7E-05	0.09525	23	23	23
^(FR)?\s?[A-Z0-9-[IO]]{2}[0-9]{9}$	0.41748	0.04037	5	0.03157	0.11883	0.09703	17	24	24
^(0|(([1-9]{1}|[1-9]{1}[0-9]{1}|[1-9]{1}[0-9]{2}){1}(\ [0-9]{3}){0,})),(([0-9]{2})|\-\-)([\ ]{1})(€|EUR|EURO){1}$	0.77055	0.10134	17	0.26603	0.1231	0.09771	21	17	17
^([1-9]{1}|[1-9]{1}[0-9]{1,3}|[1-5]{1}[0-9]{4}|6[0-4]{1}[0-9]{3}|65[0-4]{1}[0-9]{2}|655[0-2]{1}[0-9]{1}|6553[0-6]{1})$	1.05589	0.20947	17	0.10333	0.0925	0.12575	31	24	10
\d{1,2}d \d{1,2}h	2.46081	0.01511	4	0.01857	0.1204	0.07225	11	14	7
(\\d{1}-\\d{2}\\s*)(of +)(\\s?\\d{5})|(\\d{1}-\\d{2}\\s*)(of +)(\\s?\\d{4})|(\\d{1}-\\d{2}\\s*)(of +)(\\s?\\d{3})|(\\d{1}-\\d{2}\\s*)(of +)(\\s?\\d{2})|(\\d{1}-\\d{2}\\s*)(of +)(\\s?\\d{1})	1.30371	0.23878	58	0.3093	4.96486	0.0828	101	16	16
\\s\\d{2}[-]\\w{3}-\\d{4}	0.26926	0.0196	9	0.04026	0.2621	0.15951	17	32	17
^(([0]{0,1})([1-9]{1})([0-9]{2})){1}([\ ]{0,1})((([0-9]{3})([\ ]{0,1})([0-9]{3}))|(([0-9]{2})([\ ]{0,1})([0-9]{2})([\ ]{0,1})([0-9]{2})))$	0.22573	0.13862	9	0.08444	0.12381	0.10368	25	20	16
^(B(A|B|C|J|L|N|R|S|Y)|CA|D(K|S|T)|G(A|L)|H(C|E)|IL|K(A|I|E|K|M|N|S)|L(E|C|M|V)|M(A|I|L|T|Y)|N(I|O|M|R|Z)|P(B|D|E|O|K|N|P|T|U|V)|R(A|K|S|V)|S(A|B|C|E|I|K|L|O|N|P|V)|T(A|C|N|O|R|S|T|V)|V(K|T)|Z(A|C|H|I|M|V))([ ]{0,1})([0-9]{3})([A-Z]{2})$	2.30164	0.31149	20	0.31428	0.30657	0.39468	25	24	24
^([0]{0,1}[0-7]{3})$	0.12531	0.01093	2	0.01208	0.0374	0.03572	6	7	7
^([0-7]{3})$	0.08211	0.00614	2	0.00624	9E-05	0.01708	4	4	4
^([0-9]{2})(01|02|03|04|05|06|07|08|09|10|11|12|51|52|53|54|55|56|57|58|59|60|61|62)(([0]{1}[1-9]{1})|([1-2]{1}[0-9]{1})|([3]{1}[0-1]{1}))/([0-9]{3,4})$	1.0753	0.24276	18	0.30005	0.20217	0.12574	37	17	15
^(([0-9]{5})|([0-9]{3}[ ]{0,1}[0-9]{2}))$	0.14478	0.02584	4	0.03789	0.05312	0.03986	12	8	7
^(([a-zA-Z]{2})([0-9]{6}))$	0.15299	0.0145	3	0.01534	5E-05	0.03392	9	9	9
^/{1}(((/{1}\.{1})?[a-zA-Z0-9 ]+/?)+(\.{1}[a-zA-Z0-9]{2,4})?)$	0.25143	0.04643	7	0.08661	0.209	0.18496	21	22	11
^http://\w{0,3}.?youtube+\.\w{2,3}/watch\?v=[\w-]{11}	40.84949	0.18121	27	0.08074	0.36281	0.26559	47	53	53
^([(][1-9]{2}[)] )?[0-9]{4}[-]?[0-9]{4}$	0.586	0.10668	5	0.0331	0.12828	0.06795	17	15	15
^[A-Z]{1}-[0-9]{7}$	0.34066	0.01937	3	0.01469	7E-05	0.03618	10	10	10
^\s*(?<Last>[-A-Za-z ]+)[.](?<First>[-A-Za-z ]+)(?:[.](?<Middle>[-A-Za-z ]+))?(?:[.](?<Ordinal>[IVX]+))?(?:[.](?<Number>\d{10}))\s*$	2.36945	0.07976	11	0.07527	0.15799	0.13408	24	21	20
^(\+[0-9]{2,}[0-9]{4,}[0-9]*)(x?[0-9]{1,})?$	0.15051	0.03477	6	0.02965	0.07746	0.05454	14	11	10
^[+]\d{1,2}\(\d{2,3}\)\d{6,8}(\#\d{1,10})?$	1.6368	0.02476	5	0.1241	0.20392	0.19093	31	28	28
^((\d{8})|(\d{10})|(\d{11})|(\d{6}-\d{5}))?$	1.43587	0.07542	6	0.07536	0.07358	0.07153	39	17	17
\A(([a-zA-Z]{1,2}\d{1,2})|([a-zA-Z]{2}\d[a-zA-Z]{1}))\x20{0,1}\d[a-zA-Z]{2}\Z	1.63754	0.04391	8	0.05189	0.08965	0.06662	16	11	11
^(?<lat>(-?(90|(\d|[1-8]\d)(\.\d{1,6}){0,1})))\,{1}(?<long>(-?(180|(\d|\d\d|1[0-7]\d)(\.\d{1,6}){0,1})))$	3.66407	0.20433	16	0.26127	0.24795	0.25347	32	28	25
(.|[\r\n]){1,5}	0.02229	0.00194	1	0.04073	0.07769	0.01108	17	3	2
^([a-zA-Z]:\\)?[^\x00-\x1F"<>\|:\*\?/]+\.[a-zA-Z]{3,4}$	0.33901	0.02735	6	0.04023	0.08982	0.07293	12	10	10
([a-zA-Z]{2}[0-9]{1,2}\s{0,1}[0-9]{1,2}[a-zA-Z]{2})	0.53531	0.03038	5	0.03424	0.17241	0.17454	14	20	10
^(\d)?(\d|,)*\.?\d{1,2}$	1.55716	0.02951	3	0.02053	0.07433	0.06389	8	8	5
^([1-9]{1}[\d]{0,2}(\.[\d]{3})*(\,[\d]{0,2})?|[1-9]{1}[\d]{0,}(\,[\d]{0,2})?|0(\,[\d]{0,2})?|(\,[\d]{1,2})?)$	2.15078	0.05578	7	0.0904	0.14974	0.17826	24	25	14
^([\.\"\'-/ \(/)\s\[\]\\\,\<\>\;\:\{\}]?)([0-9]{3})([\.\"\'-/\(/)\s\[\]\\\,\<\>\;\:\{\}]?)([0-9]{3})([\,\.\"\'-/\(/)\s\[\]\\\<\>\;\:\{\}]?)([0-9]{4})$	0.54868	0.03732	4	0.07228	0.09411	0.07552	17	14	14
^[0-9]{6}-[0-9pPtTfF][0-9]{3}$	0.17364	0.01419	4	0.02622	0.0001	0.0442	12	12	12
[\+]?[\s]?(\d(\-|\s)?)?(\(\d{3}\)\s?|\d{3}\-?)\d{3}(-|\s-\s)?\d{4}(\s(ex|ext)\s?\d+)?	4.76946	0.21252	20	0.14132	2.73206	0.93193	40	98	31
(".+"\s)?<?[a-z\._0-9]+[^\._]@([a-z0-9]+\.)+[a-z0-9]{2,6}>?;?	0.95107	0.10432	14	0.0828	2.48517	0.78764	31	82	11
(([2-9]{1})([0-9]{2})([0-9]{3})([0-9]{4}))$	0.22614	0.02516	4	0.03369	9.22762	7.29608	11	1024	1024
^(?i)([À-ÿa-z\-]{2,})\x20([À-ÿa-z\-']{2,})(?-i)	0.35858	0.01436	4	0.06013	0.09893	0.07482	8	8	6
^((\d{2}(([02468][048])|([13579][26]))[-]?((((0?[13578])|(1[02]))[-]?((0?[1-9])|([1-2][0-9])|(3[01])))|(((0?[469])|(11))[-]?((0?[1-9])|([1-2][0-9])|(30)))|(0?2[-]?((0?[1-9])|([1-2][0-9])))))|(\d{2}(([02468][1235679])|([13579][01345789]))[-]?((((0?[13578])|(1[02]))[-]?((0?[1-9])|([1-2][0-9])|(3[01])))|(((0?[469])|(11))[-]?((0?[1-9])|([1-2][0-9])|(30)))|(0?2[-]?((0?[1-9])|(1[0-9])|(2[0-8]))))))(\s((([0-1]?[0-9])|([2][0-3]))\:([0-5][0-9])))?$	9.11866	1.05084	38	1.32679	1.05665	0.68989	81	60	36
^(b|B)(f|F)(p|P)(o|O)(\s|\sC/O\s)[0-9]{1,4}	0.73573	0.02877	11	0.06839	0.09365	0.07753	15	15	11
^(b|B)(f|F)(p|P)(o|O)(\s*||\s*C(/|)O\s*)[0-9]{1,4}	0.78193	0.04775	11	0.07518	1.03136	0.09053	18	14	9
(https?://)?((?:(\w+-)*\w+)\.)+(?:com|org|net|edu|gov|biz|info|name|museum|[a-z]{2})(\/?\w?-?=?_?\??&?)+[\.]?[a-z0-9\?=&_\-%#]*	67.6028	3.36045	45	0.30052	7.28641	1.17337	76	173	5
^(0)44[\s]{0,1}[\-]{0,1}[\s]{0,1}2[\s]{0,1}[1-9]{1}[0-9]{6}$	0.6255	0.04508	10	0.08469	0.31057	0.20155	20	16	16
\[bible[=]?([a-zäëïöüæø]*)\]((([0-9][[:space:]]?)?[a-zäëïöüæø]*[[:space:]]{1}([a-zäëïöüæø]*[[:space:]]?[a-zäëïöüæø]*[[:space:]]{1})?)([0-9]{1,3})(:{1}([0-9]{1,3})(-{1}([0-9]{1,3}))?)?)\[\\/bible\]	1.49497	0.21942	26	0.15939	1.37804	0.8769	46	114	55
^(\d{5}-\d{4}|\d{5}|\d{9})$|^([a-zA-Z]\d[a-zA-Z]( )?\d[a-zA-Z]\d)$	1.81156	0.04155	12	0.11539	0.12957	0.11625	30	20	16
^((\+){0,1}91(\s){0,1}(\-){0,1}(\s){0,1}){0,1}9[0-9](\s){0,1}(\-){0,1}(\s){0,1}[1-9]{1}[0-9]{7}$	0.71358	0.07247	13	0.05458	0.32361	0.20331	27	33	33
(^\d{1,3}([,]\d{3})*$)|(^\d{1,16}$)	1.25091	0.02278	4	0.05622	0.12263	0.11692	24	21	21
\+353\(0\)\s\d\s\d{3}\s\d{4}	2.65247	0.0347	13	0.03711	0.29629	0.15606	19	36	19
\+44\s\(0\)\s\d{2}\s\d{4}\s\d{4}	2.3338	0.03161	12	0.04279	0.26945	0.19173	21	40	21
^([a-zA-Z0-9]+[._-])*[a-zA-Z0-9]+@(([a-zA-Z0-9]+|([a-zA-Z0-9]+[.-])+)[a-zA-Z0-9]+\.[a-zA-Z]{2,4}|([a-zA-Z]\.com))$	0.59806	0.19831	15	0.12597	0.19377	0.22867	26	17	15
^([0-9a-f]{4}\.[0-9a-f]{4}\.[0-9a-f]{4})$	0.13781	0.01393	4	0.02899	8E-05	0.05394	15	15	15
\d{4}-(0[1-9]|1[0-2])-(0[1-9]|[1-2][0-9]|3[0-1])T([0-1][0-9]|2[0-3]):([0-5][0-9]):([0-5][0-9])(?:.\d{7})?[+|-](0[0-9]|1[0-2]):(00|15|30|45)	5.40684	0.16169	29	0.34041	8.04854	2.73188	47	848	52
[+-]?(0|[1-9]([0-9]{0,2})(,[0-9]{3})*)(\.[0-9]+)?	0.33431	0.04178	8	0.05499	0.70343	0.14024	16	38	2
^(\d{5}-\d{2}-\d{7})*$	1.40846	0.02738	4	0.015	5E-05	0.04196	16	16	16
^[-]?\d{1,10}\.?([0-9][0-9])?$	1.4803	0.03038	5	0.02535	0.21393	0.19637	18	33	17
^[a-z0-9,!#\$%&'\*\+/=\?\^_`\{\|}~-]+(\.[a-z0-9,!#\$%&'\*\+/=\?\^_`\{\|}~-]+)*@[a-z0-9-]+(\.[a-z0-9-]+)*\.([a-z]{2,})$	0.34665	0.03242	6	0.06806	0.08297	0.05604	15	10	7
^[0-3]{1}[0-9]{1}[ ]{1}(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec|JAN|FEB|MAR|APR|MAY|JUN|JUL|AUG|SEP|OCT|NOV|DEC|jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){1}[ ]{1}[0-9]{2}$	11.23767	0.84924	50	0.41068	0.34786	0.27698	80	54	44
([0-9]* {0,2}[A-Z]{1}\w+[,.;:]? {0,4}[xvilcXVILC\d]+[.,;:]( {0,2}[\d-,]{1,7})+)([,.;:] {0,4}[xvilcXVILC]*[.,;:]( {0,2}[\d-,]{1,7})+)*	25.05516	0.19641	11	0.41863	140.71714	21.05834	71	3489	18
(?:^(?:-)?(?:\d{1,3}\.(?:\d{3}\.)*\d{3})(?:\,\d+)?$|^(?:-)?\d*(?:\,\d+)?$)	1.83848	0.05522	8	0.11453	0.13315	0.11524	22	14	12
"\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}\\.\\d{1,3}"	0.23549	0.02674	13	0.04322	1.24612	1.2888	29	166	84
^0*(\d{1,3}(\.?\d{3})*)\-?([\dkK])$	1.60767	0.10369	6	0.14503	0.62488	0.49081	14	22	10
^(([1-9]{1}[0-9]{0,5}([.]{1}[0-9]{0,2})?)|(([0]{1}))([.]{1}[0-9]{0,2})?)$	0.16821	0.0175	4	0.0537	0.07523	0.07991	15	14	10
^([\w][\w\-_\u0020]{4,18}[\w])$	12.27485	0.01604	3	0.02671	0.15064	0.14345	22	35	35
^([0]\d|[1][0-2]\/([0-2]\d|[3][0-1])\/([2][0]\d{2})\s([0-1]\d|[2][0-3])\:[0-5]\d\:[0-5]\d)?\s(AM|am|aM|Am|PM|pm|pM|Pm)	5.4136	0.17137	24	0.14531	0.17507	0.14229	41	36	25
^\#?[A-Fa-f0-9]{3}([A-Fa-f0-9]{3})?$	0.15216	0.01591	3	0.01716	0.03427	0.03052	9	8	8
(\(?\+44\)?\s?(1|2|3|7|8)\d{3}|\(?(01|02|03|07|08)\d{3}\)?)\s?\d{3}\s?\d{3}|(\(?\+44\)?\s?(1|2|3|5|7|8)\d{2}|\(?(01|02|03|05|07|08)\d{2}\)?)\s?\d{3}\s?\d{4}|(\(?\+44\)?\s?(5|9)\d{2}|\(?(05|09)\d{2}\)?)\s?\d{3}\s?\d{3}	8.15344	0.90014	48	0.47941	1910.17529	214.8501	116	25721	240
^[A-z]?\d{8}[A-z]$	1.25366	0.01352	3	0.03751	0.13188	0.10582	12	11	11
^(\d{1}\.){0,1}\d{1,3}\,\d{2}$	1.35529	0.01923	4	0.03576	0.12107	0.11739	11	9	9
^(\+?)(\d{2,4})(\s?)(\-?)((\(0\))?)(\s?)(\d{2})(\s?)(\-?)(\d{3})(\s?)(\-?)(\d{2})(\s?)(\-?)(\d{2})	2.88765	0.55395	15	0.13063	0.83965	0.6973	39	48	37
^(\d{3,})\s?(\w{0,5})\s([a-zA-Z]{2,30})\s([a-zA-Z]{2,15})\.?\s?(\w{0,5})$	20.58694	0.08531	7	0.09392	1.47242	1.40732	71	127	92
([0-9]{6}|[0-9]{3}\s[0-9]{3})	1.08102	0.04174	5	0.04299	0.42158	0.03725	18	10	10
(\+91(-)?|91(-)?|0(-)?)?(9)[0-9]{9}	0.73515	0.05577	7	0.06538	31.87667	10.68049	22	1804	11
^(\d|\d{1,9}|1\d{1,9}|20\d{8}|213\d{7}|2146\d{6}|21473\d{5}|214747\d{4}|2147482\d{3}|21474835\d{2}|214748364[0-7])$	5.05812	0.24739	47	0.18559	0.26605	0.28352	101	72	20
^(0[1-9]|1[012])[/](0[1-9]|[12][0-9]|3[01])[/][0-9]{4}(\s((0[1-9]|1[012])\:([0-5][0-9])((\s)|(\:([0-5][0-9])\s))([AM|PM|]{2,2})))?$	1.33695	0.0944	21	0.12505	0.00011	0.09154	27	27	27
^\([0-9]{3}\)[0-9]{3}(-)[0-9]{4}	0.18721	0.01506	5	0.02516	8E-05	0.04607	14	14	14
^((([sS]|[nN])[a-hA-Hj-zJ-Z])|(([tT]|[oO])[abfglmqrvwABFGLMQRVW])|([hH][l-zL-Z])|([jJ][lmqrvwLMQRVW]))([0-9]{2})?([0-9]{2})?([0-9]{2})?([0-9]{2})?([0-9]{2})?$	1.03554	0.13457	11	0.08746	0.09143	0.07624	20	16	16
^ *([AaBbCcEeGgHhJjKkLlMmNnPpRrSsTtVvXxYy]\d[a-zA-Z]) *-* *(\d[a-zA-Z]\d) *$|^ *(\d{5}) *$|^ *(\d{5}) *-* *(\d{4}) *$	3.48274	0.17872	18	0.17988	1.76825	0.14619	33	18	18
^((((((0[1-9])|(1\d)|(2[0-8]))\.((0[123456789])|(1[0-2])))|(((29)|(30))\.((0[13456789])|(1[0-2])))|((31)\.((0[13578])|(1[02]))))\.\d{4})|((29)\.(02)\.\d{2}(([02468][048])|([13579][26]))))(\s((0\d)|(1\d)|(2[0-3]))\:([0-5]\d)\:([0-5]\d)\.\d{7})$	6.48523	0.30918	40	0.26217	0.2142	0.17781	54	51	49
^[0-9a-zA-z]{3}$	0.09547	0.00612	2	0.0055	4E-05	0.01289	4	4	4
^[A-Za-z]{3,4}[0-9]{6}$	0.13954	0.01369	3	0.01401	0.04687	0.03418	12	11	11
^[a-zA-Z]{4}\d{6}[a-zA-Z]{6}\d{2}$	1.11278	0.0637	5	0.01671	4E-05	0.04842	19	19	19
^[A-Z0-9<]{9}[0-9]{1}[A-Z]{3}[0-9]{7}[A-Z]{1}[0-9]{7}[A-Z0-9<]{14}[0-9]{2}$	0.2182	0.04252	7	0.04086	8E-05	0.1167	45	45	45
^([A-Z]{2}[9]{3}|[A-Z]{3}[9]{2}|[A-Z]{4}[9]{1}|[A-Z]{5})[0-9]{6}([A-Z]{1}[9]{1}|[A-Z]{2})[A-Z0,9]{3}$	0.30098	0.12389	11	0.0856	0.05659	0.06523	30	20	19
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$	0.22842	0.02017	6	0.02967	5E-05	0.07814	31	31	31
[^0-9]((\(?(\+420|00420)\)?( |-)?)?([0-9]{3} ?(([0-9]{3} ?[0-9]{3})|([0-9]{2} ?[0-9]{2} ?[0-9]{2})))|([0-9]{3}-(([0-9]{3}-[0-9]{3})|([0-9]{2}-[0-9]{2}-[0-9]{2}))))[^0-9|/]	1.08286	0.69009	22	0.22466	2.10791	1.0246	56	190	85
(?:\+?1[ .*-]?)?(?:\(? ?)?\d{3}(?: ?\)?)? ?(?:\*|(?:\.|-){1,2})? ?\d{3} ?(?:\*|(?:\.|-){1,2})? ?\d{4} 	3.27166	0.73785	17	0.08268	3.82436	1.22578	42	134	34
^[A-Z]{5}[0-9]{4}[A-Z]{1}$	0.11602	0.01741	4	0.01702	6E-05	0.03616	11	11	11
(^(09|9)[1][1-9]\\d{7}$)|(^(09|9)[3][12456]\\d{7}$)	0.40331	0.04314	9	0.07925	0.08438	0.08703	24	22	14
1?(?:[.\s-]?[2-9]\d{2}[.\s-]?|\s?\([2-9]\d{2}\)\s?)(?:[1-9]\d{2}[.\s-]?\d{4}\s?(?:\s?([xX]|[eE][xX]|[eE][xX]\.|[eE][xX][tT]|[eE][xX][tT]\.)\s?\d{3,4})?|[a-zA-Z]{7})	4.73644	0.30396	24	0.2403	190.55026	36.85038	55	5340	167
^(-?)(,?)(\d{1,3}(\.\d{3})*|(\d+))(\,\d{2})?$	1.52765	0.06348	7	0.10676	0.26773	0.35132	17	14	14
^(.|\r|\n){1,10}$	0.02602	0.00463	2	0.08349	0.50953	0.04749	55	11	11
([A-PR-UWYZa-pr-uwyz]([0-9]{1,2}|([A-HK-Ya-hk-y][0-9]|[A-HK-Ya-hk-y][0-9]([0-9]|[ABEHMNPRV-Yabehmnprv-y]))|[0-9][A-HJKS-UWa-hjks-uw]))	0.91472	0.04055	9	0.2589	0.68415	0.24713	12	63	4
^(\+48\s+)?\d{3}(\s*|\-)\d{3}(\s*|\-)\d{3}$	3.17454	0.28277	10	0.15623	0.13293	0.09904	23	18	18
^[a-z0-9_.-]*@[a-z0-9-]+(.[a-z]{2,4})+$	0.22291	0.03421	5	0.06567	0.26544	0.29232	16	34	9
(1)?-?\(?\s*([0-9]{3})\s*\)?\s*-?([0-9]{3})\s*-?\s*([0-9]{4})\s*	1.49586	0.65541	12	0.06091	3.94305	1.41682	30	124	27
^[0-9]{5}$	0.08411	0.00611	2	0.00535	7E-05	0.01976	6	6	6
(http):\\/\\/[\\w\\-_]+(\\.[\\w\\-_]+)+(\\.[\\w\\-_]+)(\\/)([\\w\\-\\.,@?^=%&amp;:/~\\+#]*[\\w\\-\\@?^=%&amp;/~\\+#]+)(\\/)((\\d{8}-)|(\\d{9}-)|(\\d{10}-)|(\\d{11}-))+([\\w\\-\\.,@?^=%&amp;:/~\\+#]*[\\w\\-\\@?+html^])?	1.88719	0.27126	29	0.28005	3.88326	1.14619	121	174	50
^\d+(?:\.\d{0,2})?$	1.13102	0.01167	3	0.00949	0.02354	0.02289	6	5	5
([.])([a-z,1-9]{3,4})(\/)	0.19566	0.00801	3	0.01786	0.12215	0.05325	8	12	7
^(([a-zA-Z]:)|(\\{2}\w+)\$?)(\\(\w[\w].*))+(.pdf)$	23.19958	0.12702	12	0.06959	0.20381	0.14306	21	24	13
^[[V|E|J|G]\d\d\d\d\d\d\d\d]{0,9}$	3.39086	0.03512	10	0.03286	9E-05	0.05793	19	19	19
^[+-]? *(\$)? *((\d+)|(\d{1,3})(\,\d{3})*)(\.\d{0,2})?$	2.02132	0.10117	7	0.05539	0.20422	0.12241	19	16	14
^[+-]? *100(\.0{0,2})? *%?$|^[+-]? *\d{1,2}(\.\d{1,2})? *%?$	2.20319	0.11176	11	0.068	0.16672	0.12345	25	18	13
^100(\.0{0,2})? *%?$|^\d{1,2}(\.\d{1,2})? *%?$	2.00062	0.08312	9	0.04969	0.12958	0.1031	19	16	12
^([a-zA-Z0-9][a-zA-Z0-9_]*(\.{0,1})?[a-zA-Z0-9\-_]+)*(\.{0,1})@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|([a-zA-Z0-9\-]+(\.([a-zA-Z]{2,10}))(\.([a-zA-Z]{2,10}))?(\.([a-zA-Z]{2,10}))?))[\s]*$	1.12506	0.14053	14	0.2537	0.39428	0.38189	64	56	54
^(\d{1,3},)?(\d{3},)+\d{3}(\.\d*)?$|^(\d*)(\.\d*)?$	1.7022	0.06146	8	0.13529	0.50541	0.06747	23	14	14
^(\w+([_.]{1}\w+)*@\w+([_.]{1}\w+)*\.[A-Za-z]{2,3}[;]?)*$	17.19379	0.09042	7	0.11503	0.33779	0.39251	18	31	13
^(3[0-1]|2[0-9]|1[0-9]|0[1-9])[\/](Jan|JAN|Feb|FEB|Mar|MAR|Apr|APR|May|MAY|Jun|JUN|Jul|JUL|Aug|AUG|Sep|SEP|Oct|OCT|Nov|NOV|Dec|DEC)[\/]\d{4}$	12.61777	0.46747	52	0.21427	0.2019	0.19736	61	41	40
^((\(\d{3}\) ?)|(\d{3}-)|(\(\d{2}\) ?)|(\d{2}-)|(\(\d{1}\) ?)|(\d{1}-))?\d{3}-(\d{3}|\d{4})	2.50094	0.0805	14	0.08488	0.25523	0.14532	37	32	16
^(((0?[1-9]|1[012])/(0?[1-9]|1\d|2[0-8])|(0?[13456789]|1[012])/(29|30)|(0?[13578]|1[02])/31)/(19|[2-9]\d)\d{2}|0?2/29/((19|[2-9]\d)(0[48]|[2468][048]|[13579][26])|(([2468][048]|[3579][26])00)))$	7.11423	0.47262	41	0.30987	0.28578	0.2663	47	33	32
^(((((0?[1-9]|[12]\d|3[01])[-/]([0]?[13578]|1[02]))|((0?[1-9]|[12]\d|30)[-/]([0]?[469]|11))|(([01]?\d|2[0-8])[-/]0?2))[-/]((20|19)?\d{2}|\d{1,2}))|(29[-/]0?2[-/]((19)|(20))?([13579][26]|[24680][048])))$	6.44621	0.45304	38	0.28672	0.45004	0.21666	50	40	38
^([a-zA-Z]{5})([a-zA-Z0-9-]{3,12})	0.14062	0.01417	4	0.02289	0.19223	0.05637	19	19	9
^(\+{1}|00)\s{0,1}([0-9]{3}|[0-9]{2})\s{0,1}\-{0,1}\s{0,1}([0-9]{2}|[1-9]{1})\s{0,1}\-{0,1}\s{0,1}([0-9]{8}|[0-9]{7})	0.69544	0.16285	17	0.08792	0.3102	0.44625	38	53	31
^([0-9]{12},)+[0-9]{12}$|^([0-9]{12})$	0.14878	0.03841	4	0.07009	0.12601	0.08654	50	26	13
(\d{3}\-\d{2}\-\d{4})	2.92934	0.02055	4	0.01656	0.10339	0.06305	13	22	12
^(\d?)*(\.\d{1}|\.\d{2})?$	1.25117	0.01928	5	0.02842	0.03004	0.02555	7	5	4
^(\d{3}-\d{2}-\d{4})|(\d{3}\d{2}\d{4})$	2.6792	0.04734	8	0.04852	0.49015	0.07739	24	22	22
(?:(?:[123]|I{1,3})\s*)?(?:[A-Z][a-zA-Z]+|Song of Songs|Song of Solomon).?\s*(?:1?[0-9]?[0-9]):\s*\d{1,3}(?:[,-]\s*\d{1,3})*(?:;\s*(?:(?:[123]|I{1,3})\s*)?(?:[A-Z][a-zA-Z]+|Song of Songs|Song of Solomon)?.?\s*(?:1?[0-9]?[0-9]):\s*\d{1,3}(?:[,-]\s*\d{1,3})*)*	11.53923	0.67115	41	0.43484	11.32254	1.72868	118	251	10
^100$|^100.00$|^\d{0,2}(\.\d{1,2})? *%?$	2.09847	0.07517	10	0.05261	0.12618	0.1019	19	14	12
(((0*[1-9]|[12][0-9]|3[01])([-./])(0*[13578]|10|12)([-./])(\d{4}))|((0*[1-9]|[12][0-9]|30)([-./])(0*[469]|11)([-./])(\d{4}))|((0*[1-9]|1[0-9]|2[0-8])([-./])(02|2)([-./])(\d{4}))|((29)(\.|-|\/)(02|2)([-./])([02468][048]00))|((29)([-./])(02|2)([-./])([13579][26]00))|((29)([-./])(02|2)([-./])([0-9][0-9][0][48]))|((29)([-./])(02|2)([-./])([0-9][0-9][2468][048]))|((29)([-./])(02|2)([-./])([0-9][0-9][13579][26])))	8.12906	0.37048	68	0.60423	19.70168	0.33772	115	34	34
^[A-Z]\d{2}(\.\d){0,1}$	1.22081	0.01192	4	0.03392	0.00021	0.07869	6	6	6
^((\$?\-?)|(\-?\$?))([0-9]{1,3},([0-9]{3},)*[0-9]{3}|[0-9]+)?(\.[0-9]*)?$	0.28281	0.12014	10	0.16579	0.32927	0.26295	23	14	13
^(GIR ?0AA|(?:[A-PR-UWYZ](?:\d|\d{2}|[A-HK-Y]\d|[A-HK-Y]\d\d|\d[A-HJKSTUW]|[A-HK-Y]\d[ABEHMNPRV-Y])) ?\d[ABD-HJLNP-UW-Z]{2})$	3.28977	0.18039	18	0.32498	0.48829	0.24223	22	17	17
^([0-9]{1}[\d]{0,2}(\,[\d]{3})*(\,[\d]{0,2})?|[0-9]{1}[\d]{0,}(\,[\d]{0,2})?|0(\,[\d]{0,2})?|(\,[\d]{1,2})?)$	1.89173	0.05516	7	0.07593	0.11727	0.10469	24	22	13
^(429496729[0-6]|42949672[0-8]\d|4294967[01]\d{2}|429496[0-6]\d{3}|42949[0-5]\d{4}|4294[0-8]\d{5}|429[0-3]\d{6}|42[0-8]\d{7}|4[01]\d{8}|[1-3]\d{9}|[1-9]\d{8}|[1-9]\d{7}|[1-9]\d{6}|[1-9]\d{5}|[1-9]\d{4}|[1-9]\d{3}|[1-9]\d{2}|[1-9]\d|\d)$	7.92319	0.50874	56	0.34249	0.43591	0.27245	128	64	20
^[-|\+]?[0-9]{1,3}(\,[0-9]{3})*$|^[-|\+]?[0-9]+$	0.20836	0.03484	5	0.04247	0.05485	0.04661	13	10	10
